"","x","y","land","built_s","built_v","pop","smod_10","smod_11","smod_12","smod_13","smod_21","smod_22","smod_23","smod_30"
"106",279000,1409000,997619.24,1034.09,2586.56,1727.90267925151,0,84,16,0,0,0,0,0
"107",289000,1409000,999180.21,1.32,3.32,1.63202116731555,0,100,0,0,0,0,0,0
"108",299000,1409000,1e+06,145.88,372.09,152.067996850237,0,100,0,0,0,0,0,0
"109",309000,1409000,999954.08,4826.04,14490.88,7067.69438610505,0,84,13,3,0,0,0,0
"110",319000,1409000,999373.34,830.19,2076.92,1459.20011791959,0,94,5,1,0,0,0,0
"111",329000,1409000,999927.19,56.3,141.03,78.952146627009,0,100,0,0,0,0,0,0
"112",339000,1409000,998823.86,588.54,1471.88,1049.61108601093,0,97,1,2,0,0,0,0
"113",139000,1399000,999888.21,20.15,50.56,18.606953041628,0,100,0,0,0,0,0,0
"114",149000,1399000,1e+06,9.8,24.59,9.0495446100831,0,100,0,0,0,0,0,0
"115",159000,1399000,1e+06,5.72,14.36,5.28472794592381,0,100,0,0,0,0,0,0
"116",169000,1399000,1e+06,2.47,6.19,2.27802686393261,0,100,0,0,0,0,0,0
"117",179000,1399000,1e+06,11.83,29.67,10.9190724007785,0,100,0,0,0,0,0,0
"118",189000,1399000,998400.48,46.45,116.19,52.4295828510076,0,100,0,0,0,0,0,0
"119",199000,1399000,1e+06,1.36,3.41,1.55032121390104,0,100,0,0,0,0,0,0
"120",209000,1399000,998970.27,83.76,209.69,102.061299987137,0,100,0,0,0,0,0,0
"121",219000,1399000,999717.92,3969.22,9928.01,4829.49163059145,0,70,30,0,0,0,0,0
"122",229000,1399000,1e+06,6053.11,16655.15,8092.32356345281,0,50,47,3,0,0,0,0
"123",239000,1399000,1e+06,14463.88,58480.83,28278.1201334409,0,49,39,6,2,0,4,0
"124",249000,1399000,1e+06,18688.73,73701.09,35802.9420879372,0,33,50,8,6,0,3,0
"125",259000,1399000,1e+06,5876.47,14698.36,7154.05464462191,0,49,51,0,0,0,0,0
"126",269000,1399000,1e+06,3218.56,8051.15,3918.69345399365,0,79,21,0,0,0,0,0
"127",279000,1399000,998014.44,2387.38,5972.15,2906.85109968111,0,79,21,0,0,0,0,0
"128",289000,1399000,997185.69,1006.24,2517.89,1193.62108086608,0,94,6,0,0,0,0,0
"129",299000,1399000,1e+06,9170.18,29878.25,14642.4545659851,0,76,15,4,0,5,0,0
"130",309000,1399000,1e+06,1196.23,2993.17,1469.69896228984,0,95,5,0,0,0,0,0
"131",319000,1399000,999832.85,619.38,1901.87,1062.85850846395,0,98,1,1,0,0,0,0
"132",329000,1399000,997283.53,253.39,634.02,430.793888976798,0,96,4,0,0,0,0,0
"133",339000,1399000,1e+06,427.51,1069.67,707.806500202045,0,94,6,0,0,0,0,0
"134",129000,1389000,997068.9,6.03,15.13,7.98595365695655,0,100,0,0,0,0,0,0
"135",139000,1389000,1e+06,7.43,18.65,6.86352205462754,0,100,0,0,0,0,0,0
"136",149000,1389000,1e+06,4.07,10.21,3.75745626538992,0,100,0,0,0,0,0,0
"137",159000,1389000,1e+06,12.64,31.64,11.6440665312112,0,100,0,0,0,0,0,0
"138",169000,1389000,1e+06,7.05,17.7,6.51390566118061,0,100,0,0,0,0,0,0
"139",179000,1389000,999000.45,9.21,23.09,9.30830414779485,0,100,0,0,0,0,0,0
"140",189000,1389000,999581.27,3.81,9.56,3.84048029221594,0,100,0,0,0,0,0,0
"141",199000,1389000,1e+06,3.47,8.7,3.95536500960588,0,100,0,0,0,0,0,0
"142",209000,1389000,998493.1,556.23,1391.39,677.223856665195,0,97,3,0,0,0,0,0
"143",219000,1389000,999961.75,4529.36,11328.72,5504.43762369454,0,60,40,0,0,0,0,0
"144",229000,1389000,1e+06,8151.54,21686.41,10459.5431307219,0,52,43,5,0,0,0,0
"145",239000,1389000,1e+06,26832.1,122000.9,59152.7073321454,0,40,38,2,12,0,8,0
"146",249000,1389000,1e+06,6431.24,16084.73,7828.83517426252,0,51,48,1,0,0,0,0
"147",259000,1389000,998609.49,5623.09,14064,6846.82332011126,0,53,45,2,0,0,0,0
"148",269000,1389000,997839.51,2391.46,5983.05,2935.75478384551,0,91,9,0,0,0,0,0
"149",279000,1389000,998227.39,3175.66,7944.59,3899.80821261834,0,78,22,0,0,0,0,0
"150",289000,1389000,1e+06,2157.24,5397.47,2635.6158633288,0,91,9,0,0,0,0,0
"151",299000,1389000,1e+06,6112.8,20417,9982.65073114913,0,75,18,7,0,0,0,0
"152",309000,1389000,1e+06,2041.58,7192.49,3522.74716471135,0,93,5,2,0,0,0,0
"153",319000,1389000,998844.76,774.33,2770.63,1362.87963769957,0,98,1,1,0,0,0,0
"154",329000,1389000,999946.84,47.97,120.13,79.4554620049894,0,100,0,0,0,0,0,0
"155",339000,1389000,1e+06,1417.36,3544.36,2304.32084712572,0,94,2,4,0,0,0,0
"156",119000,1379000,998025.63,12.73,31.96,11.7618319336325,0,100,0,0,0,0,0,0
"157",129000,1379000,1e+06,7.68,19.26,7.08801259472967,0,100,0,0,0,0,0,0
"158",139000,1379000,1e+06,3.69,9.28,3.41520026326179,0,100,0,0,0,0,0,0
"159",149000,1379000,1e+06,4,10.02,3.68753307498992,0,100,0,0,0,0,0,0
"160",159000,1379000,1e+06,4.09,10.31,3.79425804689527,0,100,0,0,0,0,0,0
"161",169000,1379000,999388.49,3.09,7.74,2.84845361858606,0,100,0,0,0,0,0,0
"162",179000,1379000,999064.45,5.36,13.46,5.79981306381524,0,100,0,0,0,0,0,0
"163",189000,1379000,1e+06,1.43,3.59,1.63215634226799,0,100,0,0,0,0,0,0
"164",199000,1379000,1e+06,0.79,1.98,0.900186479091644,0,100,0,0,0,0,0,0
"165",209000,1379000,997818.12,541.06,1353.63,627.385117638856,0,97,3,0,0,0,0,0
"166",219000,1379000,1e+06,5375.11,13443.78,6513.2904679291,0,61,38,1,0,0,0,0
"167",229000,1379000,1e+06,15788.94,59012.99,28651.1702594161,0,41,44,5,8,0,2,0
"168",239000,1379000,1e+06,4853.49,12138.58,5865.79176669568,0,60,40,0,0,0,0,0
"169",249000,1379000,999486.91,3090.07,7729.55,3762.16279840842,0,72,28,0,0,0,0,0
"170",259000,1379000,997323.21,3371.27,8433.22,4053.10607246496,0,77,23,0,0,0,0,0
"171",269000,1379000,1e+06,2954.67,7392.05,3633.72952149715,0,82,18,0,0,0,0,0
"172",279000,1379000,1e+06,5482.28,13712.32,6740.60133967269,0,54,46,0,0,0,0,0
"173",289000,1379000,1e+06,16248.35,52321.75,25398.6882049376,0,36,50,8,4,0,0,2
"174",299000,1379000,1e+06,4115.44,10291.64,4959.74180771131,0,79,16,5,0,0,0,0
"175",309000,1379000,1e+06,753.27,1884.93,911.823004405945,0,94,6,0,0,0,0,0
"176",319000,1379000,998108.21,174.34,436.47,214.55670984555,0,100,0,0,0,0,0,0
"177",329000,1379000,999762.46,167.08,418.1,276.536492168903,0,98,2,0,0,0,0,0
"178",339000,1379000,1e+06,2173.09,6331.98,3648.96546556055,0,87,9,4,0,0,0,0
"179",349000,1379000,1e+06,918.99,2299.12,1520.66629050858,0,91,9,0,0,0,0,0
"180",119000,1369000,1e+06,6.68,16.78,6.1753298137337,0,100,0,0,0,0,0,0
"181",129000,1369000,1e+06,4.72,11.84,4.35732440836728,0,100,0,0,0,0,0,0
"182",139000,1369000,1e+06,1.19,3,1.10405178740621,0,100,0,0,0,0,0,0
"183",149000,1369000,1e+06,61.09,152.92,56.277200749144,0,100,0,0,0,0,0,0
"184",159000,1369000,1e+06,2.37,5.95,2.1897027362138,0,100,0,0,0,0,0,0
"185",169000,1369000,998982.22,3.23,8.1,2.98093988373876,0,100,0,0,0,0,0,0
"186",179000,1369000,999019.65,2.01,5.04,2.03584779798984,0,100,0,0,0,0,0,0
"187",189000,1369000,1e+06,2318.63,8738.68,3972.95044335723,0,97,1,2,0,0,0,0
"188",199000,1369000,1e+06,249.71,625.15,284.217979229987,0,100,0,0,0,0,0,0
"189",209000,1369000,998384.06,1404.48,3513.12,1597.20365419239,0,92,8,0,0,0,0,0
"190",219000,1369000,1e+06,8157.85,23319.6,11153.9704284966,0,49,49,2,0,0,0,0
"191",229000,1369000,1e+06,5722.82,14320.56,6970.17007475719,0,49,51,0,0,0,0,0
"192",239000,1369000,1e+06,4885.95,12218.87,5947.22567042336,0,61,38,1,0,0,0,0
"193",249000,1369000,997435.22,2452.13,6133.73,2956.10775957257,0,83,17,0,0,0,0,0
"194",259000,1369000,999964.02,1603.23,4012.01,1748.35450676363,0,97,3,0,0,0,0,0
"195",269000,1369000,1e+06,6353.51,22489.05,11055.0016259402,0,70,27,0,2,0,1,0
"196",279000,1369000,1e+06,12525.88,38048.46,18635.2631644653,0,38,54,5,1,2,0,0
"197",289000,1369000,999922.23,42149.23,230664.38,111554.093142819,0,45,32,3,5,2,0,13
"198",299000,1369000,998895.51,1750.9,4379.83,2143.53690832108,0,87,13,0,0,0,0,0
"199",309000,1369000,998638.23,126.92,317.76,150.352406794205,0,100,0,0,0,0,0,0
"200",319000,1369000,998401.71,2.4,6.02,3.98170214891434,0,100,0,0,0,0,0,0
"201",329000,1369000,1e+06,437.35,2001.93,1324.10114445165,0,99,0,1,0,0,0,0
"202",339000,1369000,1e+06,2101.93,6775.32,4360.22844583914,0,96,1,3,0,0,0,0
"203",349000,1369000,1e+06,431.36,1079.29,713.855703907088,0,98,2,0,0,0,0,0
