"","x","y","land","built_s","built_v","pop","smod.10","smod.11","smod.12","smod.13","smod.21","smod.22","smod.23","smod.30","SCHOOLS"
"10217",-1292000,1330000,1e+06,2226.49,5567.49,4077.22981627937,0,77,21,2,0,0,0,0,"0"
"10218",-1282000,1330000,996386.03,3126.06,7817.1,4735.52520075627,0,75,23,2,0,0,0,0,"0"
"10219",-1272000,1330000,998186.25,2222.84,5558.52,3212.20103294588,0,81,19,0,0,0,0,0,"0"
"10220",-1262000,1330000,997698.62,2141.09,5353.62,3331.46840963233,0,83,17,0,0,0,0,0,"0"
"10221",-1252000,1330000,999251.1,696.22,1741.02,1039.05054964591,0,93,7,0,0,0,0,0,"0"
"10222",-1242000,1330000,1e+06,3775.37,9440.63,2583.85239417851,0,82,18,0,0,0,0,0,"0"
"10223",-1232000,1330000,999279.89,11732.06,29335.29,6803.62209505541,0,52,48,0,0,0,0,0,"0"
"10224",-1222000,1330000,999917.99,11299.6,28254.79,5958.172326562,0,56,44,0,0,0,0,0,"0"
"10225",-1212000,1330000,999323.15,7934.44,19840.39,4833.54364255536,0,64,36,0,0,0,0,0,"0"
"10226",-1202000,1330000,1e+06,7241.37,18106.65,7475.0068009533,0,53,46,1,0,0,0,0,"0"
"10227",-1192000,1330000,1e+06,4773.46,11936.05,5111.40921335388,0,72,26,2,0,0,0,0,"0"
"10228",-1182000,1330000,999967.86,3730.15,9327.46,4082.05109452828,0,74,26,0,0,0,0,0,"0"
"10229",-1172000,1330000,1e+06,6708.24,16773.66,6435.15362470224,0,59,41,0,0,0,0,0,"0"
"10230",-1162000,1330000,996983.03,1987.47,4970.29,2343.51833862811,0,82,18,0,0,0,0,0,"0"
"10231",-1152000,1330000,998734.21,1539.03,3848.71,2744.98606297746,0,81,19,0,0,0,0,0,"0"
"10232",-1142000,1330000,997978.16,2252.21,5632.21,4021.51318521052,0,77,21,2,0,0,0,0,"0"
"10233",-1132000,1330000,999907.85,3936.22,9843.24,6512.78290775418,0,68,31,1,0,0,0,0,"0"
"10234",-1122000,1330000,1e+06,5929.81,16995.51,11833.0254340563,0,74,16,10,0,0,0,0,"0"
"10235",-1112000,1330000,1e+06,2066.73,5168.37,3815.776555283,0,83,15,2,0,0,0,0,"0"
"10236",-1102000,1330000,1e+06,10661.35,51263.74,17683.7026753109,0,84,9,0,3,0,4,0,"1"
"10237",-1092000,1330000,998092.96,4733.81,11836.75,5697.58706437237,0,70,27,3,0,0,0,0,"0"
"10238",-1082000,1330000,999251.22,819.41,2049.16,1790.79027450643,0,92,6,2,0,0,0,0,"0"
"10239",-1072000,1330000,1e+06,169.43,423.7,415.203092137352,0,98,2,0,0,0,0,0,"0"
"10240",-1062000,1330000,998931.83,948.51,4668.32,4824.31618521735,0,96,3,1,0,0,0,0,"0"
"10241",-1052000,1330000,999652,1973.88,7323.92,7565.25787563995,0,92,5,1,1,0,1,0,"0"
"10242",-1042000,1330000,998554.54,1544.07,4937.88,3414.30946715176,0,91,7,2,0,0,0,0,"0"
"10243",-1032000,1330000,997767.6,1236.99,4107,2775.18717814795,0,95,3,2,0,0,0,0,"0"
"10244",-1022000,1330000,998011.32,2375.19,5939.05,4013.14230610617,0,89,6,5,0,0,0,0,"0"
"10245",-1012000,1330000,1e+06,3409.84,15787.26,10613.1887618192,0,92,2,2,3,0,1,0,"0"
"10246",-1002000,1330000,999432.65,608.21,1520.82,1027.6503869649,0,96,4,0,0,0,0,0,"0"
"10247",-992000,1330000,998762.64,372.06,930.49,628.751870645209,0,98,2,0,0,0,0,0,"0"
"10248",-982000,1330000,996595.34,97.21,243.19,110.843583949842,0,99,1,0,0,0,0,0,"0"
"10249",-972000,1330000,998578.17,12.06,30.19,39.2459635287523,0,100,0,0,0,0,0,0,"0"
"10250",-962000,1330000,1e+06,815.57,2039.61,2646.8811660856,0,94,3,3,0,0,0,0,"0"
"10251",-952000,1330000,998823.02,391.97,980.42,1374.20224522799,0,95,3,2,0,0,0,0,"0"
"10252",-942000,1330000,983073.87,2684.17,7917.26,8873.32027883641,0,91,2,7,0,0,0,0,"0"
"10253",-932000,1330000,1e+06,402.04,1005.7,888.071258405223,0,97,3,0,0,0,0,0,"0"
"10254",-922000,1330000,1e+06,975.47,2439.47,2075.2469362244,0,93,5,2,0,0,0,0,"0"
